,0
0,Do Androids Dream of Electric Sheep? (Kindle Edition)
1,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)"
2,Stranger in a Strange Land (Paperback)
3,"Ender's Shadow (The Shadow Series, #1)"
4,The Three-Body Problem (Remembrance of Earth’s Past #1)
5,"Catching Fire (The Hunger Games, #2)"
6,The Martian Chronicles (Mass Market Paperback)
7,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)"
8,"Ender's Game (Ender's Saga, #1)"
9,"Hyperion (Hyperion Cantos, #1)"
10,Foundation (Foundation #1)
11,"Dune (Dune Chronicles, #1)"
12,"Cress (The Lunar Chronicles, #3)"
13,Dark Matter (Hardcover)
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
15,"The Hunger Games (The Hunger Games, #1)"
16,Brave New World (Paperback)
17,"2001: A Space Odyssey (Space Odyssey, #1)"
18,Fahrenheit 451 (Kindle Edition)
19,"Mockingjay (The Hunger Games, #3)"
20,The Martian (Hardcover)
21,"The Host (The Host, #1)"
22,"Neuromancer (Sprawl, #1)"
23,"Leviathan Wakes (The Expanse, #1)"
24,Snow Crash (Kindle Edition)
25,"Illuminae (The Illuminae Files, #1)"
26,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)"
27,"Divergent (Divergent, #1)"
28,The War of the Worlds (Paperback)
29,"Speaker for the Dead (Ender's Saga, #2)"
30,1984 (Kindle Edition)
31,Starship Troopers (Mass Market Paperback)
32,"The 5th Wave (The 5th Wave, #1)"
33,The Handmaid's Tale (Paperback)
34,"Jurassic Park (Jurassic Park, #1)"
35,Slaughterhouse-Five (Paperback)
36,"A Wrinkle in Time (Time Quintet, #1)"
37,Foundation and Empire (Foundation #2)
38,"The Maze Runner (The Maze Runner, #1)"
39,"Xenocide (Ender's Saga, #3)"
40,"Cinder (The Lunar Chronicles, #1)"
41,"Red Rising (Red Rising, #1)"
42,"The Forever War (The Forever War, #1)"
43,Artemis (Hardcover)
44,"I, Robot (Robot, #0.1)"
45,The Time Machine (Paperback)
46,"Old Man's War (Old Man's War, #1)"
47,"Scarlet (The Lunar Chronicles, #2)"
48,"Ready Player One (Ready Player One, #1)"
