,0
0,The City & the City (Hardcover)
1,Station Eleven (Hardcover)
2,Do Androids Dream of Electric Sheep? (Kindle Edition)
3,Kindred (Paperback)
4,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
5,"The Diamond Age: Or, A Young Lady's Illustrated Primer (Paperback)"
6,The Three-Body Problem (Remembrance of Earth’s Past #1)
7,"Catching Fire (The Hunger Games, #2)"
8,"Ender's Game (Ender's Saga, #1)"
9,The Ocean at the End of the Lane (Hardcover)
10,Foundation (Foundation #1)
11,"Dune (Dune Chronicles, #1)"
12,The Dispossessed (Hainish Cycle #6)
13,Dark Matter (Hardcover)
14,Anathem (Hardcover)
15,Brave New World (Paperback)
16,"The Hunger Games (The Hunger Games, #1)"
17,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
18,The Giver (Paperback)
19,Fahrenheit 451 (Kindle Edition)
20,"Mockingjay (The Hunger Games, #3)"
21,The Martian (Hardcover)
22,The Man in the High Castle (Paperback)
23,The Hobbit or There and Back Again (Paperback)
24,"Neuromancer (Sprawl, #1)"
25,Snow Crash (Kindle Edition)
26,"Divergent (Divergent, #1)"
27,"The Fifth Season (The Broken Earth, #1)"
28,1984 (Kindle Edition)
29,"The Year of the Flood  (MaddAddam, #2)"
30,The Handmaid's Tale (Paperback)
31,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
32,Slaughterhouse-Five (Paperback)
33,"Oryx and Crake (MaddAddam, #1)"
34,Cloud Atlas (Paperback)
35,"A Wrinkle in Time (Time Quintet, #1)"
36,The Power (Hardcover)
37,"Parable of the Sower (Earthseed, #1)"
38,Frankenstein (Paperback)
39,A Clockwork Orange (Paperback)
40,Stories of Your Life and Others (ebook)
41,American Gods (Kindle Edition)
42,"A Canticle for Leibowitz (St. Leibowitz, #1)"
43,Never Let Me Go (Paperback)
44,"MaddAddam (MaddAddam, #3)"
45,The Time Traveler's Wife (ebook)
46,"Annihilation (Southern Reach, #1)"
47,The Road (Hardcover)
48,"Ready Player One (Ready Player One, #1)"
49,The Left Hand of Darkness (Hainish Cycle #4)
50,The City & the City (Hardcover)
51,Station Eleven (Hardcover)
52,Do Androids Dream of Electric Sheep? (Kindle Edition)
53,Kindred (Paperback)
54,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
55,"The Diamond Age: Or, A Young Lady's Illustrated Primer (Paperback)"
56,The Three-Body Problem (Remembrance of Earth’s Past #1)
57,"Catching Fire (The Hunger Games, #2)"
58,"Ender's Game (Ender's Saga, #1)"
59,The Ocean at the End of the Lane (Hardcover)
60,Foundation (Foundation #1)
61,"Dune (Dune Chronicles, #1)"
62,The Dispossessed (Hainish Cycle #6)
63,Dark Matter (Hardcover)
64,Anathem (Hardcover)
65,Brave New World (Paperback)
66,"The Hunger Games (The Hunger Games, #1)"
67,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
68,The Giver (Paperback)
69,Fahrenheit 451 (Kindle Edition)
70,"Mockingjay (The Hunger Games, #3)"
71,The Martian (Hardcover)
72,The Man in the High Castle (Paperback)
73,The Hobbit or There and Back Again (Paperback)
74,"Neuromancer (Sprawl, #1)"
75,Snow Crash (Kindle Edition)
76,"Divergent (Divergent, #1)"
77,"The Fifth Season (The Broken Earth, #1)"
78,1984 (Kindle Edition)
79,"The Year of the Flood  (MaddAddam, #2)"
80,The Handmaid's Tale (Paperback)
81,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
82,Slaughterhouse-Five (Paperback)
83,"Oryx and Crake (MaddAddam, #1)"
84,Cloud Atlas (Paperback)
85,"A Wrinkle in Time (Time Quintet, #1)"
86,The Power (Hardcover)
87,"Parable of the Sower (Earthseed, #1)"
88,Frankenstein (Paperback)
89,A Clockwork Orange (Paperback)
90,Stories of Your Life and Others (ebook)
91,American Gods (Kindle Edition)
92,"A Canticle for Leibowitz (St. Leibowitz, #1)"
93,Never Let Me Go (Paperback)
94,"MaddAddam (MaddAddam, #3)"
95,The Time Traveler's Wife (ebook)
96,"Annihilation (Southern Reach, #1)"
97,The Road (Hardcover)
98,"Ready Player One (Ready Player One, #1)"
99,The Left Hand of Darkness (Hainish Cycle #4)
100,The City & the City (Hardcover)
101,Station Eleven (Hardcover)
102,Do Androids Dream of Electric Sheep? (Kindle Edition)
103,Kindred (Paperback)
104,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
105,"The Diamond Age: Or, A Young Lady's Illustrated Primer (Paperback)"
106,The Three-Body Problem (Remembrance of Earth’s Past #1)
107,"Catching Fire (The Hunger Games, #2)"
108,"Ender's Game (Ender's Saga, #1)"
109,The Ocean at the End of the Lane (Hardcover)
110,Foundation (Foundation #1)
111,"Dune (Dune Chronicles, #1)"
112,The Dispossessed (Hainish Cycle #6)
113,Dark Matter (Hardcover)
114,Anathem (Hardcover)
115,Brave New World (Paperback)
116,"The Hunger Games (The Hunger Games, #1)"
117,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
118,The Giver (Paperback)
119,Fahrenheit 451 (Kindle Edition)
120,"Mockingjay (The Hunger Games, #3)"
121,The Martian (Hardcover)
122,The Man in the High Castle (Paperback)
123,The Hobbit or There and Back Again (Paperback)
124,"Neuromancer (Sprawl, #1)"
125,Snow Crash (Kindle Edition)
126,"Divergent (Divergent, #1)"
127,"The Fifth Season (The Broken Earth, #1)"
128,1984 (Kindle Edition)
129,"The Year of the Flood  (MaddAddam, #2)"
130,The Handmaid's Tale (Paperback)
